,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name
0,Bouna Coundoul,COL,GK,30,30,2668,158,120,32,1.07,9,12,8,9,30.0,75.9,2007,REG,2,2,Coundoul,Bouna,COL
1,Kevin Hartman,KC,GK,30,30,2700,159,110,45,1.5,11,12,7,5,36.7,69.2,2007,REG,6,7,Hartman,Kevin,KC
2,Matt Reis,NE,GK,30,30,2700,169,120,43,1.43,14,8,8,10,46.7,71.0,2007,REG,3,3,Reis,Matt,NE
3,Joe Cannon,LA,GK,29,29,2610,171,119,46,1.59,9,13,7,5,31.0,69.6,2007,REG,4,5,Cannon,Joe,LA
4,Troy Perkins,DC,GK,29,29,2610,155,117,32,1.1,16,6,7,8,55.2,75.5,2007,REG,1,3,Perkins,Troy,DC
5,Pat Onstad,HOU,GK,27,27,2418,109,85,22,0.81,13,8,6,11,48.1,78.0,2007,REG,1,2,Onstad,Pat,HOU
6,Nick Rimando,RSL,GK,27,27,2430,191,146,37,1.37,6,13,8,7,22.2,76.4,2007,REG,4,6,Rimando,Nick,RSL
7,Matt Pickens,CHI,GK,27,27,2430,137,102,31,1.15,9,8,10,10,33.3,74.5,2007,REG,4,4,Pickens,Matt,CHI
8,Brad Guzan,ATL,GK,27,27,2430,119,87,25,0.93,14,6,7,13,51.9,73.1,2007,REG,2,3,Guzan,Brad,ATL
9,William Hesmer,CLB,GK,20,20,1800,99,71,29,1.45,8,7,5,5,40.0,71.7,2007,REG,2,3,Hesmer,William,CLB
10,Ronald Waterreus,NY,GK,18,18,1557,89,59,31,1.72,6,6,5,5,33.3,66.3,2007,REG,3,3,Waterreus,Ronald,NY
11,Dario Sala,DAL,GK,18,18,1620,97,64,29,1.61,8,7,3,5,44.4,66.0,2007,REG,2,2,Sala,Dario,DAL
12,Jon Conway,NY,GK,14,12,1142,79,57,14,1.17,6,5,2,4,42.9,72.2,2007,REG,1,2,Conway,Jon,NY
13,Kenny Stamatopoulos,TOR,GK,12,12,1080,61,41,20,1.67,1,8,3,2,8.3,67.2,2007,REG,4,4,Stamatopoulos,Kenny,TOR
14,Andy Gruenebaum,CLB,GK,10,10,900,53,35,15,1.5,1,4,5,3,10.0,66.0,2007,REG,0,0,Gruenebaum,Andy,CLB
15,Srdjan Djekanovic,TOR,GK,8,7,635,34,22,9,1.29,2,3,2,2,25.0,64.7,2007,REG,1,1,Djekanovic,Srdjan,TOR
16,Greg Sutton,TOR,GK,8,8,720,53,36,15,1.88,2,5,1,1,25.0,67.9,2007,REG,2,2,Sutton,Greg,TOR
17,Shaka Hislop,DAL,GK,6,6,540,32,23,9,1.5,2,3,1,0,33.3,71.9,2007,REG,0,0,Hislop,Shaka,DAL
18,Ray Burse,DAL,GK,6,6,540,29,23,6,1.0,3,2,1,2,50.0,79.3,2007,REG,1,1,Burse,Ray,DAL
19,Zach Wells,HOU,GK,4,3,282,9,8,1,0.33,2,0,1,2,50.0,88.9,2007,REG,1,1,Wells,Zach,HOU
