,Player,Club,POS,GP,GS,MINS,G,A,SHTS_FP,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG_FP,PKA_FP,Last Name,First Name,Base Salary,Guaranteed Compensation,Date,SHTS_GK,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,PKG_GK,PKA_GK
0,Luciano Emilio,DC,F,29.0,28.0,2410.0,20.0,1.0,79.0,47.0,4.0,12.0,8.0,0.75,25.3,2007,REG,1.0,1.0,0.0,0.04,59.5,35.0,39.0,21.0,2.0,0.0,0.0,0.0,Emilio,Luciano,265000.0,293125.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Juan Pablo Angel,NY,F,24.0,24.0,2125.0,19.0,5.0,97.0,53.0,5.0,13.0,6.0,0.8,19.6,2007,REG,2.0,3.0,2.0,0.21,54.6,31.0,20.0,42.0,2.0,1.0,5.0,5.0,Pablo Angel,Juan,1500000.0,1593750.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Taylor Twellman,NE,F,26.0,25.0,2283.0,16.0,3.0,90.0,55.0,5.0,7.0,9.0,0.63,17.8,2007,REG,1.0,2.0,1.0,0.12,61.1,13.0,41.0,21.0,2.0,0.0,0.0,0.0,Twellman,Taylor,325008.0,350008.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Eddie Johnson,KC,F,24.0,24.0,2149.0,15.0,6.0,75.0,43.0,6.0,8.0,7.0,0.63,20.0,2007,REG,2.0,3.0,3.0,0.25,57.3,21.0,57.0,50.0,6.0,0.0,1.0,1.0,Johnson,Eddie,750000.0,875000.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Maykel Galindo,CHV,F,28.0,24.0,2021.0,12.0,5.0,55.0,28.0,5.0,8.0,4.0,0.53,21.8,2007,REG,3.0,3.0,2.0,0.22,50.9,44.0,53.0,30.0,6.0,0.0,0.0,0.0,Galindo,Maykel,72500.0,72500.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ante Razov,CHV,F,26.0,24.0,2041.0,11.0,8.0,85.0,42.0,4.0,9.0,2.0,0.49,12.9,2007,REG,4.0,5.0,3.0,0.35,49.4,37.0,33.0,30.0,2.0,0.0,1.0,1.0,Razov,Ante,245000.0,248750.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Landon Donovan,LA,M-F,25.0,24.0,2191.0,8.0,13.0,44.0,20.0,1.0,5.0,3.0,0.33,18.2,2007,REG,3.0,10.0,3.0,0.53,45.5,19.0,40.0,11.0,3.0,0.0,5.0,6.0,Donovan,Landon,900000.0,900000.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ben Olsen,DC,M,24.0,21.0,1881.0,7.0,7.0,29.0,17.0,3.0,5.0,2.0,0.33,24.1,2007,REG,2.0,6.0,1.0,0.33,58.6,49.0,41.0,11.0,8.0,0.0,0.0,0.0,Olsen,Ben,155000.0,177500.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alejandro Moreno,CLB,F,29.0,27.0,2357.0,7.0,7.0,54.0,32.0,1.0,2.0,5.0,0.27,13.0,2007,REG,1.0,4.0,3.0,0.27,59.3,54.0,93.0,32.0,3.0,0.0,0.0,0.0,Moreno,Alejandro,120000.0,125000.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Jaime Moreno,DC,F,21.0,15.0,1439.0,7.0,6.0,34.0,18.0,2.0,5.0,2.0,0.44,20.6,2007,REG,1.0,5.0,1.0,0.38,52.9,24.0,30.0,15.0,3.0,0.0,4.0,4.0,Moreno,Jaime,250000.0,275000.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Joseph Ngwenya,HOU,F,30.0,30.0,2362.0,7.0,4.0,40.0,23.0,2.0,5.0,2.0,0.27,17.5,2007,REG,0.0,3.0,1.0,0.15,57.5,26.0,60.0,55.0,4.0,0.0,0.0,0.0,Ngwenya,Joseph,51148.13,62023.13,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Pat Noonan,NE,F,27.0,21.0,1736.0,7.0,4.0,42.0,24.0,1.0,6.0,1.0,0.36,16.7,2007,REG,1.0,3.0,1.0,0.21,57.1,12.0,41.0,32.0,2.0,0.0,0.0,0.0,Noonan,Pat,225000.0,227500.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Scott Sealy,KC,F,18.0,15.0,1193.0,7.0,2.0,33.0,20.0,2.0,4.0,3.0,0.53,21.2,2007,REG,0.0,0.0,2.0,0.15,60.6,7.0,30.0,23.0,1.0,0.0,0.0,0.0,Sealy,Scott,33075.0,33075.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Brian Ching,HOU,F,20.0,17.0,1590.0,7.0,2.0,48.0,18.0,3.0,4.0,3.0,0.4,14.6,2007,REG,0.0,0.0,2.0,0.11,37.5,31.0,46.0,15.0,1.0,0.0,0.0,0.0,Ching,Brian,220000.0,220000.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Andy Dorman,NE,M,30.0,27.0,2269.0,7.0,2.0,48.0,27.0,2.0,4.0,3.0,0.28,14.6,2007,REG,0.0,1.0,1.0,0.08,56.3,28.0,18.0,4.0,5.0,0.0,0.0,0.0,Dorman,Andy,30870.0,30870.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Nate Jaqua,HOU,F,25.0,19.0,1772.0,7.0,2.0,49.0,19.0,1.0,6.0,1.0,0.36,14.3,2007,REG,0.0,1.0,1.0,0.1,38.8,34.0,29.0,8.0,6.0,0.0,0.0,0.0,Jaqua,Nate,112500.0,119525.0,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Chad Barrett,CHI,F,30.0,25.0,1983.0,7.0,2.0,59.0,37.0,2.0,5.0,2.0,0.32,11.9,2007,REG,0.0,2.0,0.0,0.09,62.7,21.0,22.0,37.0,3.0,0.0,1.0,1.0,Barrett,Chad,41212.5,48712.5,2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
