,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
6,Christian Gomez,DC,M,27.0,27.0,2272.0,10.0,9.0,82.0,44.0,2.0,8.0,2.0,0.4,12.2,2007,REG,5.0,7.0,2.0,0.36,53.7,34.0,43.0,10.0,6.0,0.0,2.0,3.0,Gomez,Christian,DC,,,,,,,,
7,Jozy Altidore,TOR,F,22.0,15.0,1399.0,9.0,4.0,43.0,20.0,3.0,7.0,2.0,0.58,20.9,2007,REG,2.0,2.0,2.0,0.26,46.5,38.0,43.0,12.0,4.0,0.0,0.0,0.0,Altidore,Jozy,TOR,,,,,,,,
9,Robbie Findley,LA,F,25.0,14.0,1353.0,8.0,0.0,31.0,16.0,3.0,5.0,3.0,0.53,25.8,2007,REG,0.0,0.0,0.0,0.0,51.6,15.0,27.0,14.0,0.0,0.0,0.0,0.0,Findley,Robbie,LA,,,,,,,,
10,Fred,DC,M,26.0,23.0,2096.0,7.0,8.0,28.0,14.0,3.0,4.0,3.0,0.3,25.0,2007,REG,3.0,6.0,2.0,0.34,50.0,45.0,40.0,21.0,5.0,1.0,0.0,0.0,,Fred,DC,,,,,,,,
22,Dwayne De Rosario,HOU,M,24.0,22.0,1973.0,6.0,4.0,62.0,24.0,3.0,0.0,6.0,0.27,9.7,2007,REG,1.0,3.0,1.0,0.18,38.7,29.0,32.0,19.0,5.0,0.0,1.0,2.0,De Rosario,Dwayne,HOU,,,,,,,,
25,Danny Dichio,TOR,F,17.0,14.0,1175.0,6.0,1.0,20.0,13.0,0.0,4.0,2.0,0.46,30.0,2007,REG,0.0,0.0,1.0,0.08,65.0,46.0,38.0,6.0,3.0,1.0,0.0,0.0,Dichio,Danny,TOR,,,,,,,,
26,Jeff Cunningham,RSL,F,23.0,20.0,1636.0,6.0,1.0,32.0,21.0,0.0,5.0,1.0,0.33,18.8,2007,REG,0.0,0.0,1.0,0.06,65.6,8.0,21.0,33.0,3.0,0.0,1.0,1.0,Cunningham,Jeff,RSL,,,,,,,,
27,Juan Toja,DAL,M,27.0,27.0,2388.0,6.0,1.0,33.0,16.0,3.0,1.0,5.0,0.23,18.2,2007,REG,0.0,1.0,0.0,0.04,48.5,83.0,41.0,6.0,4.0,0.0,0.0,0.0,Toja,Juan,DAL,,,,,,,,
45,Hérculez Gómez,COL,F,20.0,16.0,1537.0,4.0,2.0,51.0,22.0,1.0,3.0,1.0,0.23,7.8,2007,REG,1.0,0.0,2.0,0.12,43.1,38.0,46.0,17.0,6.0,0.0,0.0,0.0,Gómez,Hérculez,COL,,,,,,,,
65,Roberto Brown,COL,F,13.0,8.0,696.0,3.0,0.0,14.0,4.0,2.0,2.0,1.0,0.39,21.4,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,11.0,16.0,2.0,1.0,0.0,0.0,Brown,Roberto,COL,,,,,,,,
69,Dave van den Bergh,NY,M,29.0,26.0,2228.0,2.0,8.0,36.0,19.0,0.0,1.0,1.0,0.08,5.6,2007,REG,1.0,3.0,5.0,0.32,52.8,23.0,14.0,3.0,1.0,0.0,0.0,0.0,van den Bergh,Dave,NY,,,,,,,,
75,Jose Burciaga Jr.,KC,D,23.0,23.0,1826.0,2.0,4.0,26.0,12.0,2.0,2.0,0.0,0.1,7.7,2007,REG,0.0,3.0,1.0,0.2,46.2,26.0,28.0,0.0,5.0,1.0,0.0,0.0,Burciaga Jr.,Jose,KC,,,,,,,,
83,Fabian Espindola,RSL,F,12.0,8.0,602.0,2.0,2.0,13.0,9.0,1.0,1.0,1.0,0.3,15.4,2007,REG,0.0,1.0,1.0,0.3,69.2,7.0,16.0,7.0,3.0,1.0,0.0,0.0,Espindola,Fabian,RSL,,,,,,,,
99,Andy Welsh,TOR,M,20.0,16.0,1335.0,1.0,3.0,14.0,10.0,1.0,1.0,0.0,0.07,7.1,2007,REG,1.0,3.0,0.0,0.2,71.4,19.0,29.0,4.0,2.0,0.0,0.0,0.0,Welsh,Andy,TOR,,,,,,,,
109,Freddy Adu,RSL,F,11.0,10.0,899.0,1.0,2.0,24.0,12.0,0.0,0.0,1.0,0.1,4.2,2007,REG,0.0,1.0,1.0,0.2,50.0,11.0,25.0,6.0,1.0,0.0,1.0,1.0,Adu,Freddy,RSL,,,,,,,,
116,Willian Oliveira,CHI,M,8.0,4.0,381.0,1.0,1.0,7.0,4.0,0.0,1.0,0.0,0.24,14.3,2007,REG,0.0,1.0,0.0,0.24,57.1,1.0,6.0,3.0,0.0,0.0,0.0,0.0,Oliveira,Willian,CHI,,,,,,,,
125,Sal Caccavale,NY,M,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,45.0,100.0,2007,REG,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Caccavale,Sal,NY,,,,,,,,
129,John Thorrington,CHI,M,2.0,0.0,31.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.9,50.0,2007,REG,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Thorrington,John,CHI,,,,,,,,
136,Matt Taylor,CHV,F,11.0,0.0,156.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.58,20.0,2007,REG,0.0,0.0,0.0,0.0,100.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,Taylor,Matt,CHV,,,,,,,,
137,Miguel Canizalez,TOR,D,12.0,3.0,413.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.22,20.0,2007,REG,0.0,0.0,0.0,0.0,20.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,Canizalez,Miguel,TOR,,,,,,,,
146,Denilson,DAL,M,8.0,7.0,606.0,1.0,0.0,14.0,4.0,1.0,1.0,0.0,0.15,7.1,2007,REG,0.0,0.0,0.0,0.0,28.6,10.0,21.0,2.0,3.0,0.0,1.0,1.0,,Denilson,DAL,,,,,,,,
170,Bobby Boswell,DC,D,23.0,22.0,1963.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,1.0,2.0,0.0,0.09,28.6,42.0,4.0,0.0,5.0,1.0,0.0,0.0,Boswell,Bobby,DC,,,,,,,,
173,Guy-Roland Kpene,DC,F,15.0,8.0,626.0,0.0,2.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,1.0,0.29,66.7,17.0,10.0,8.0,2.0,0.0,0.0,0.0,Kpene,Guy-Roland,DC,,,,,,,,
175,Taylor Graham,NY,D,5.0,3.0,335.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,0.0,0.27,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,Graham,Taylor,NY,,,,,,,,
176,Kasali Yinka Casal,DC,M,4.0,0.0,104.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,1.0,0.87,0.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,Yinka Casal,Kasali,DC,,,,,,,,
177,Mike Randolph,LA,D,19.0,15.0,1451.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,1.0,0.0,1.0,0.06,0.0,7.0,18.0,0.0,3.0,0.0,0.0,0.0,Randolph,Mike,LA,,,,,,,,
179,Rodrigo López,CHV,M,5.0,0.0,62.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,0.0,1.45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,López,Rodrigo,CHV,,,,,,,,
