,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club_Dup,First Name_Dup,Player_Dup,POS_Dup,Base Salary,Guaranteed Compensation,Date
1,Juan Pablo Angel,NY,F,24.0,24.0,2125.0,19.0,5.0,97.0,53.0,5.0,13.0,6.0,0.8,19.6,2007,REG,2.0,3.0,2.0,0.21,54.6,31.0,20.0,42.0,2.0,1.0,5.0,5.0,Pablo Angel,Juan,,,,,,,
11,Fred,DC,M,26.0,23.0,2096.0,7.0,8.0,28.0,14.0,3.0,4.0,3.0,0.3,25.0,2007,REG,3.0,6.0,2.0,0.34,50.0,45.0,40.0,21.0,5.0,1.0,0.0,0.0,,Fred,,,,,,,
12,Denilson,DAL,M,8.0,7.0,606.0,1.0,0.0,14.0,4.0,1.0,1.0,0.0,0.15,7.1,2007,REG,0.0,0.0,0.0,0.0,28.6,10.0,21.0,2.0,3.0,0.0,1.0,1.0,,Denilson,,,,,,,
13,Ricardinho,DAL,F,8.0,3.0,279.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,1.0,0.0,1.0,0.32,40.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,,Ricardinho,,,,,,,
14,Thiago,CHI,M,13.0,5.0,568.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,0.0,0.16,30.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,,Thiago,,,,,,,
31,Dwayne De Rosario,HOU,M,24.0,22.0,1973.0,6.0,4.0,62.0,24.0,3.0,0.0,6.0,0.27,9.7,2007,REG,1.0,3.0,1.0,0.18,38.7,29.0,32.0,19.0,5.0,0.0,1.0,2.0,De Rosario,Dwayne,,,,,,,
38,Guillermo Barros Schelotto,CLB,F,22.0,19.0,1605.0,5.0,11.0,39.0,18.0,3.0,3.0,2.0,0.28,12.8,2007,REG,1.0,3.0,8.0,0.62,46.2,23.0,65.0,20.0,5.0,0.0,1.0,1.0,Barros Schelotto,Guillermo,,,,,,,
71,Hérculez Gómez,COL,F,20.0,16.0,1537.0,4.0,2.0,51.0,22.0,1.0,3.0,1.0,0.23,7.8,2007,REG,1.0,0.0,2.0,0.12,43.1,38.0,46.0,17.0,6.0,0.0,0.0,0.0,Gómez,Hérculez,,,,,,,
97,Dave van den Bergh,NY,M,29.0,26.0,2228.0,2.0,8.0,36.0,19.0,0.0,1.0,1.0,0.08,5.6,2007,REG,1.0,3.0,5.0,0.32,52.8,23.0,14.0,3.0,1.0,0.0,0.0,0.0,van den Bergh,Dave,,,,,,,
111,Jose Burciaga Jr.,KC,D,23.0,23.0,1826.0,2.0,4.0,26.0,12.0,2.0,2.0,0.0,0.1,7.7,2007,REG,0.0,3.0,1.0,0.2,46.2,26.0,28.0,0.0,5.0,1.0,0.0,0.0,Burciaga Jr.,Jose,,,,,,,
151,Freddy Adu,RSL,F,11.0,10.0,899.0,1.0,2.0,24.0,12.0,0.0,0.0,1.0,0.1,4.2,2007,REG,0.0,1.0,1.0,0.2,50.0,11.0,25.0,6.0,1.0,0.0,1.0,1.0,Adu,Freddy,,,,,,,
159,Willian Oliveira,CHI,M,8.0,4.0,381.0,1.0,1.0,7.0,4.0,0.0,1.0,0.0,0.24,14.3,2007,REG,0.0,1.0,0.0,0.24,57.1,1.0,6.0,3.0,0.0,0.0,0.0,0.0,Oliveira,Willian,,,,,,,
183,John Thorrington,CHI,M,2.0,0.0,31.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.9,50.0,2007,REG,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Thorrington,John,,,,,,,
190,Matt Taylor,CHV,F,11.0,0.0,156.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.58,20.0,2007,REG,0.0,0.0,0.0,0.0,100.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,Taylor,Matt,,,,,,,
233,Taylor Graham,NY,D,5.0,3.0,335.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,0.0,0.27,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,Graham,Taylor,,,,,,,
234,Kasali Yinka Casal,DC,M,4.0,0.0,104.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,1.0,0.87,0.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,Yinka Casal,Kasali,,,,,,,
237,Rodrigo López,CHV,M,5.0,0.0,62.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,1.0,0.0,1.45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,López,Rodrigo,,,,,,,
265,Yherland McDonald,COL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McDonald,Yherland,,,,,,,
266,Tim Regan,NY,D,3.0,2.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,Regan,Tim,,,,,,,
267,Rich Asante,TOR,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asante,Rich,,,,,,,
275,Joey Worthen,RSL,F-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Worthen,Joey,,,,,,,
276,Julian Nash,HOU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nash,Julian,,,,,,,
280,John Michael Hayden,HOU,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Hayden,John,,,,,,,
285,Tommy Krizanovic,DAL,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Krizanovic,Tommy,,,,,,,
287,Mike Sambursky,HOU,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sambursky,Mike,,,,,,,
289,Aaron Chandler,CLB,M-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chandler,Aaron,,,,,,,
