,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club Name
0,Luciano Emilio,DC,F,29,28,2410,20,1,79,47,4,12,8,0.75,25.3,2007,REG,1,1,0,0.04,59.5,35,39,21,2,0,0,0,Emilio,Luciano,DC
1,Juan Pablo Angel,NY,F,24,24,2125,19,5,97,53,5,13,6,0.8,19.6,2007,REG,2,3,2,0.21,54.6,31,20,42,2,1,5,5,Pablo Angel,Juan,NY
2,Taylor Twellman,NE,F,26,25,2283,16,3,90,55,5,7,9,0.63,17.8,2007,REG,1,2,1,0.12,61.1,13,41,21,2,0,0,0,Twellman,Taylor,NE
3,Eddie Johnson,KC,F,24,24,2149,15,6,75,43,6,8,7,0.63,20.0,2007,REG,2,3,3,0.25,57.3,21,57,50,6,0,1,1,Johnson,Eddie,KC
4,Maykel Galindo,CHV,F,28,24,2021,12,5,55,28,5,8,4,0.53,21.8,2007,REG,3,3,2,0.22,50.9,44,53,30,6,0,0,0,Galindo,Maykel,CHV
5,Ante Razov,CHV,F,26,24,2041,11,8,85,42,4,9,2,0.49,12.9,2007,REG,4,5,3,0.35,49.4,37,33,30,2,0,1,1,Razov,Ante,CHV
6,Christian Gomez,DC,M,27,27,2272,10,9,82,44,2,8,2,0.4,12.2,2007,REG,5,7,2,0.36,53.7,34,43,10,6,0,2,3,Gomez,Christian,DC
7,Jozy Altidore,TOR,F,22,15,1399,9,4,43,20,3,7,2,0.58,20.9,2007,REG,2,2,2,0.26,46.5,38,43,12,4,0,0,0,Altidore,Jozy,TOR
8,Landon Donovan,LA,M-F,25,24,2191,8,13,44,20,1,5,3,0.33,18.2,2007,REG,3,10,3,0.53,45.5,19,40,11,3,0,5,6,Donovan,Landon,LA
9,Robbie Findley,LA,F,25,14,1353,8,0,31,16,3,5,3,0.53,25.8,2007,REG,0,0,0,0.0,51.6,15,27,14,0,0,0,0,Findley,Robbie,LA
10,Fred,DC,M,26,23,2096,7,8,28,14,3,4,3,0.3,25.0,2007,REG,3,6,2,0.34,50.0,45,40,21,5,1,0,0,,Fred,DC
11,Ben Olsen,DC,M,24,21,1881,7,7,29,17,3,5,2,0.33,24.1,2007,REG,2,6,1,0.33,58.6,49,41,11,8,0,0,0,Olsen,Ben,DC
12,Alejandro Moreno,CLB,F,29,27,2357,7,7,54,32,1,2,5,0.27,13.0,2007,REG,1,4,3,0.27,59.3,54,93,32,3,0,0,0,Moreno,Alejandro,CLB
13,Jaime Moreno,DC,F,21,15,1439,7,6,34,18,2,5,2,0.44,20.6,2007,REG,1,5,1,0.38,52.9,24,30,15,3,0,4,4,Moreno,Jaime,DC
14,Joseph Ngwenya,CLB,F,30,30,2362,7,4,40,23,2,5,2,0.27,17.5,2007,REG,0,3,1,0.15,57.5,26,60,55,4,0,0,0,Ngwenya,Joseph,CLB
15,Pat Noonan,NE,F,27,21,1736,7,4,42,24,1,6,1,0.36,16.7,2007,REG,1,3,1,0.21,57.1,12,41,32,2,0,0,0,Noonan,Pat,NE
16,Scott Sealy,KC,F,18,15,1193,7,2,33,20,2,4,3,0.53,21.2,2007,REG,0,0,2,0.15,60.6,7,30,23,1,0,0,0,Sealy,Scott,KC
17,Brian Ching,HOU,F,20,17,1590,7,2,48,18,3,4,3,0.4,14.6,2007,REG,0,0,2,0.11,37.5,31,46,15,1,0,0,0,Ching,Brian,HOU
18,Andy Dorman,NE,M,30,27,2269,7,2,48,27,2,4,3,0.28,14.6,2007,REG,0,1,1,0.08,56.3,28,18,4,5,0,0,0,Dorman,Andy,NE
19,Nate Jaqua,HOU,F,25,19,1772,7,2,49,19,1,6,1,0.36,14.3,2007,REG,0,1,1,0.1,38.8,34,29,8,6,0,0,0,Jaqua,Nate,HOU
20,Chad Barrett,CHI,F,30,25,1983,7,2,59,37,2,5,2,0.32,11.9,2007,REG,0,2,0,0.09,62.7,21,22,37,3,0,1,1,Barrett,Chad,CHI
21,Carlos Ruiz,DAL,F,22,19,1721,7,2,59,25,0,2,5,0.37,11.9,2007,REG,0,0,2,0.1,42.4,46,41,23,9,1,1,1,Ruiz,Carlos,DAL
22,Dwayne De Rosario,HOU,M,24,22,1973,6,4,62,24,3,0,6,0.27,9.7,2007,REG,1,3,1,0.18,38.7,29,32,19,5,0,1,2,De Rosario,Dwayne,HOU
23,Chris Rolfe,CHI,F,19,18,1451,6,3,38,19,2,2,4,0.37,15.8,2007,REG,1,2,1,0.19,50.0,13,22,4,1,0,1,1,Rolfe,Chris,CHI
