,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,Year,Season,GWA,HmA,RdA,A/90min,SOG%,FC,FS,OFF,YC,RC,Club_Dup,Last Name,First Name,POS_Dup,Base Salary,Guaranteed Compensation,Date
0,Luciano Emilio,DC ,F,29,28,2410,20,1,79,47,4,0/0,12,8,0.75,25.3,2007,REG,1,1,0,0.04,59.5,35,39,21,2,0,DC,Emilio,Luciano,F,"$265,000.00","$293,125.00",2007-08-31
1,Juan Pablo Angel,NY ,F,24,24,2125,19,5,97,53,5,5/5,13,6,0.80,19.6,2007,REG,2,3,2,0.21,54.6,31,20,42,2,1,NY,Angel,Juan Pablo,F,"$1,500,000.00","$1,593,750.00",2007-08-31
2,Taylor Twellman,NE ,F,26,25,2283,16,3,90,55,5,0/0,7,9,0.63,17.8,2007,REG,1,2,1,0.12,61.1,13,41,21,2,0,NE,Twellman,Taylor,F,"$325,008.00","$350,008.00",2007-08-31
3,Eddie Johnson,KC ,F,24,24,2149,15,6,75,43,6,1/1,8,7,0.63,20.0,2007,REG,2,3,3,0.25,57.3,21,57,50,6,0,KC,Johnson,Eddie,F,"$750,000.00","$875,000.00",2007-08-31
4,Maykel Galindo,CHV,F,28,24,2021,12,5,55,28,5,0/0,8,4,0.53,21.8,2007,REG,3,3,2,0.22,50.9,44,53,30,6,0,CHV,Galindo,Maykel,F,"$72,500.00","$72,500.00",2007-08-31
5,Ante Razov,CHV,F,26,24,2041,11,8,85,42,4,1/1,9,2,0.49,12.9,2007,REG,4,5,3,0.35,49.4,37,33,30,2,0,CHV,Razov,Ante,F,"$245,000.00","$248,750.00",2007-08-31
6,Christian Gomez,DC ,M,27,27,2272,10,9,82,44,2,2/3,8,2,0.40,12.2,2007,REG,5,7,2,0.36,53.7,34,43,10,6,0,,,,,,,
7,Jozy Altidore,TOR,F,22,15,1399,9,4,43,20,3,0/0,7,2,0.58,20.9,2007,REG,2,2,2,0.26,46.5,38,43,12,4,0,,,,,,,
8,Landon Donovan,LA ,M-F,25,24,2191,8,13,44,20,1,5/6,5,3,0.33,18.2,2007,REG,3,10,3,0.53,45.5,19,40,11,3,0,LA,Donovan,Landon,F,"$900,000.00","$900,000.00",2007-08-31
9,Robbie Findley,LA ,F,25,14,1353,8,0,31,16,3,0/0,5,3,0.53,25.8,2007,REG,0,0,0,0.00,51.6,15,27,14,0,0,,,,,,,
