,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,First Name,Last Name,Club_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Base Salary,Guaranteed Compensation
0,Luciano Emilio,DC ,F,29.0,28.0,2410.0,20.0,1.0,79.0,47.0,4.0,12.0,8.0,0.75,25.3,2007,REG,1.0,1.0,0.0,0.04,59.5,35.0,39.0,21.0,2.0,0.0,0.0,0.0,Luciano,Emilio,DC,Emilio,Luciano,F,265000.0,293125.0
1,Juan Pablo Angel,NY ,F,24.0,24.0,2125.0,19.0,5.0,97.0,53.0,5.0,13.0,6.0,0.8,19.6,2007,REG,2.0,3.0,2.0,0.21,54.6,31.0,20.0,42.0,2.0,1.0,5.0,5.0,Juan,Pablo Angel,NY,Angel,Juan Pablo,F,1500000.0,1593750.0
2,Taylor Twellman,NE ,F,26.0,25.0,2283.0,16.0,3.0,90.0,55.0,5.0,7.0,9.0,0.63,17.8,2007,REG,1.0,2.0,1.0,0.12,61.1,13.0,41.0,21.0,2.0,0.0,0.0,0.0,Taylor,Twellman,NE,Twellman,Taylor,F,325008.0,350008.0
3,Eddie Johnson,KC ,F,24.0,24.0,2149.0,15.0,6.0,75.0,43.0,6.0,8.0,7.0,0.63,20.0,2007,REG,2.0,3.0,3.0,0.25,57.3,21.0,57.0,50.0,6.0,0.0,1.0,1.0,Eddie,Johnson,KC,Johnson,Eddie,F,750000.0,875000.0
4,Maykel Galindo,CHV,F,28.0,24.0,2021.0,12.0,5.0,55.0,28.0,5.0,8.0,4.0,0.53,21.8,2007,REG,3.0,3.0,2.0,0.22,50.9,44.0,53.0,30.0,6.0,0.0,0.0,0.0,Maykel,Galindo,CHV,Galindo,Maykel,F,72500.0,72500.0
5,Ante Razov,CHV,F,26.0,24.0,2041.0,11.0,8.0,85.0,42.0,4.0,9.0,2.0,0.49,12.9,2007,REG,4.0,5.0,3.0,0.35,49.4,37.0,33.0,30.0,2.0,0.0,1.0,1.0,Ante,Razov,CHV,Razov,Ante,F,245000.0,248750.0
6,Christian Gomez,DC ,M,27.0,27.0,2272.0,10.0,9.0,82.0,44.0,2.0,8.0,2.0,0.4,12.2,2007,REG,5.0,7.0,2.0,0.36,53.7,34.0,43.0,10.0,6.0,0.0,2.0,3.0,Christian,Gomez,,,,,,
7,Jozy Altidore,TOR,F,22.0,15.0,1399.0,9.0,4.0,43.0,20.0,3.0,7.0,2.0,0.58,20.9,2007,REG,2.0,2.0,2.0,0.26,46.5,38.0,43.0,12.0,4.0,0.0,0.0,0.0,Jozy,Altidore,,,,,,
8,Landon Donovan,LA ,M-F,25.0,24.0,2191.0,8.0,13.0,44.0,20.0,1.0,5.0,3.0,0.33,18.2,2007,REG,3.0,10.0,3.0,0.53,45.5,19.0,40.0,11.0,3.0,0.0,5.0,6.0,Landon,Donovan,LA,Donovan,Landon,F,900000.0,900000.0
9,Robbie Findley,LA ,F,25.0,14.0,1353.0,8.0,0.0,31.0,16.0,3.0,5.0,3.0,0.53,25.8,2007,REG,0.0,0.0,0.0,0.0,51.6,15.0,27.0,14.0,0.0,0.0,0.0,0.0,Robbie,Findley,,,,,,
10,Fred,DC ,M,26.0,23.0,2096.0,7.0,8.0,28.0,14.0,3.0,4.0,3.0,0.3,25.0,2007,REG,3.0,6.0,2.0,0.34,50.0,45.0,40.0,21.0,5.0,1.0,0.0,0.0,Fred,,,,,,,
11,Ben Olsen,DC ,M,24.0,21.0,1881.0,7.0,7.0,29.0,17.0,3.0,5.0,2.0,0.33,24.1,2007,REG,2.0,6.0,1.0,0.33,58.6,49.0,41.0,11.0,8.0,0.0,0.0,0.0,Ben,Olsen,DC,Olsen,Ben,M,155000.0,177500.0
12,Alejandro Moreno,CLB,F,29.0,27.0,2357.0,7.0,7.0,54.0,32.0,1.0,2.0,5.0,0.27,13.0,2007,REG,1.0,4.0,3.0,0.27,59.3,54.0,93.0,32.0,3.0,0.0,0.0,0.0,Alejandro,Moreno,CLB,Moreno,Alejandro,F,120000.0,125000.0
13,Jaime Moreno,DC ,F,21.0,15.0,1439.0,7.0,6.0,34.0,18.0,2.0,5.0,2.0,0.44,20.6,2007,REG,1.0,5.0,1.0,0.38,52.9,24.0,30.0,15.0,3.0,0.0,4.0,4.0,Jaime,Moreno,DC,Moreno,Jaime,F,250000.0,275000.0
14,Joseph Ngwenya,CLB,F,30.0,30.0,2362.0,7.0,4.0,40.0,23.0,2.0,5.0,2.0,0.27,17.5,2007,REG,0.0,3.0,1.0,0.15,57.5,26.0,60.0,55.0,4.0,0.0,0.0,0.0,Joseph,Ngwenya,HOU,Ngwenya,Joseph,F,51148.13,62023.13
15,Pat Noonan,NE ,F,27.0,21.0,1736.0,7.0,4.0,42.0,24.0,1.0,6.0,1.0,0.36,16.7,2007,REG,1.0,3.0,1.0,0.21,57.1,12.0,41.0,32.0,2.0,0.0,0.0,0.0,Pat,Noonan,NE,Noonan,Pat,F,225000.0,227500.0
